PID;USER;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TIME+;COMMAND
24170;pedro;20;0;992944;115232;29520;S;43,8;0,8;0:04.03;python3
2235;pedro;20;0;54,6g;305812;133360;S;37,5;2,2;4:44.19;code
2277;pedro;20;0;44,5g;145368;102384;S;18,8;1,0;0:22.08;code
8;root;20;0;0;0;0;D;12,5;0,0;2:42.33;kworker/u64:0+events_unbound
1749;pedro;20;0;4658984;197372;103976;S;6,2;1,4;1:03.21;cinnamon
2141;pedro;20;0;36,7g;206620;142400;S;6,2;1,5;0:37.90;code
2192;pedro;20;0;32,5g;148272;100856;S;6,2;1,0;1:30.88;code
2265;pedro;20;0;36,4g;210492;67156;S;6,2;1,5;0:18.67;code
2921;pedro;20;0;1129,9g;92804;74112;S;6,2;0,7;0:00.58;chrome
3982;pedro;20;0;1129,9g;146748;101656;S;6,2;1,0;0:04.51;chrome
12149;root;20;0;0;0;0;D;6,2;0,0;1:18.51;kworker/u64:3+events_unbound
19248;pedro;20;0;1130,0g;231448;105248;S;6,2;1,6;2:11.06;chrome
24272;pedro;20;0;13360;4156;3284;R;6,2;0,0;0:00.01;top
1;root;20;0;166456;11788;8292;S;0,0;0,1;0:00.63;systemd
2;root;20;0;0;0;0;S;0,0;0,0;0:00.00;kthreadd
3;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;rcu_gp
4;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;rcu_par_gp
5;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;netns
7;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/0:0H-events_highpri
9;root;0;-20;0;0;0;I;0,0;0,0;0:00.06;kworker/0:1H-events_highpri
10;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;mm_percpu_wq
11;root;20;0;0;0;0;S;0,0;0,0;0:00.00;rcu_tasks_rude_
12;root;20;0;0;0;0;S;0,0;0,0;0:00.00;rcu_tasks_trace
