PID;USER;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TIME+;COMMAND
2141;pedro;20;0;36,7g;201596;140816;S;20,0;1,4;0:31.97;code
9779;root;20;0;0;0;0;I;6,7;0,0;1:34.79;kworker/u64:1-events_unbound
1;root;20;0;166456;11788;8292;S;0,0;0,1;0:00.61;systemd
2;root;20;0;0;0;0;S;0,0;0,0;0:00.00;kthreadd
3;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;rcu_gp
4;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;rcu_par_gp
5;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;netns
7;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/0:0H-events_highpri
8;root;20;0;0;0;0;I;0,0;0,0;1:55.52;kworker/u64:0-events_unbound
9;root;0;-20;0;0;0;I;0,0;0,0;0:00.05;kworker/0:1H-events_highpri
10;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;mm_percpu_wq
11;root;20;0;0;0;0;S;0,0;0,0;0:00.00;rcu_tasks_rude_
12;root;20;0;0;0;0;S;0,0;0,0;0:00.00;rcu_tasks_trace
13;root;20;0;0;0;0;S;0,0;0,0;0:00.07;ksoftirqd/0
14;root;20;0;0;0;0;I;0,0;0,0;0:01.71;rcu_sched
15;root;rt;0;0;0;0;S;0,0;0,0;0:00.00;migration/0
16;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/0
18;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/0
19;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/1
20;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/1
21;root;rt;0;0;0;0;S;0,0;0,0;0:00.22;migration/1
22;root;20;0;0;0;0;S;0,0;0,0;0:00.03;ksoftirqd/1
24;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/1:0H-events_highpri
25;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/2
26;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/2
27;root;rt;0;0;0;0;S;0,0;0,0;0:00.22;migration/2
28;root;20;0;0;0;0;S;0,0;0,0;0:00.01;ksoftirqd/2
30;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/2:0H-events_highpri
31;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/3
32;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/3
33;root;rt;0;0;0;0;S;0,0;0,0;0:00.22;migration/3
34;root;20;0;0;0;0;S;0,0;0,0;0:00.01;ksoftirqd/3
36;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/3:0H-events_highpri
37;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/4
38;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/4
39;root;rt;0;0;0;0;S;0,0;0,0;0:00.22;migration/4
40;root;20;0;0;0;0;S;0,0;0,0;0:00.02;ksoftirqd/4
42;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/4:0H-events_highpri
43;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/5
44;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/5
45;root;rt;0;0;0;0;S;0,0;0,0;0:00.22;migration/5
46;root;20;0;0;0;0;S;0,0;0,0;0:00.02;ksoftirqd/5
48;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/5:0H-kblockd
49;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/6
50;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/6
51;root;rt;0;0;0;0;S;0,0;0,0;0:00.23;migration/6
52;root;20;0;0;0;0;S;0,0;0,0;0:00.01;ksoftirqd/6
54;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/6:0H-events_highpri
